LeadID,LeadCreatedDateKey,CampaignID,City,LeadScore,Status,QualifiedFlag,KycDoneFlag,AccountOpenedFlag,ConvertedInvestorID,FirstInvestmentDateKey
L0000001,20240831,CMP0015,Ottawa,30,New,0,0,0,,
L0000002,20240621,CMP0011,Markham,33,New,0,0,0,,
L0000003,20240915,CMP0012,Mississauga,12,New,0,0,0,,
L0000004,20240411,CMP0016,Mississauga,42,New,0,0,0,,
L0000005,20241012,CMP0009,London,13,Lost,0,0,0,,
L0000006,20240722,CMP0009,Markham,94,KYC Done,1,1,0,,
L0000007,20240616,CMP0012,London,22,New,0,0,0,,
L0000008,20240704,CMP0004,Toronto,69,Lost,1,1,1,,
L0000009,20240727,CMP0003,Brampton,61,KYC Done,1,1,0,,
L0000010,20240114,CMP0016,Toronto,31,New,0,0,0,,
L0000011,20240221,CMP0004,Markham,82,KYC Done,1,1,0,,
L0000012,20240330,CMP0010,Mississauga,19,New,0,0,0,,
L0000013,20240211,CMP0005,Brampton,89,Lost,1,1,1,,
L0000014,20240609,CMP0005,Ottawa,76,Qualified,1,0,0,,
L0000015,20240901,CMP0011,Toronto,67,KYC Done,1,1,0,,
L0000016,20240827,CMP0015,Brampton,89,Account Opened,1,1,1,,
L0000017,20240621,CMP0008,London,46,New,0,0,0,,
L0000018,20241108,CMP0003,Mississauga,35,New,0,0,0,,
L0000019,20240725,CMP0005,Ottawa,23,New,0,0,0,,
L0000020,20240129,CMP0003,Windsor,93,Account Opened,1,1,1,,
L0000021,20241006,CMP0016,Toronto,46,Lost,0,0,0,,
L0000022,20240729,CMP0006,Mississauga,84,Qualified,1,0,0,,
L0000023,20240820,CMP0007,London,39,New,0,0,0,,
L0000024,20240725,CMP0002,Hamilton,95,Qualified,1,0,0,,
L0000025,20240721,CMP0009,Windsor,88,Account Opened,1,1,1,,
L0000026,20240203,CMP0017,Toronto,37,New,0,0,0,,
L0000027,20240723,CMP0008,Vaughan,53,Qualified,1,0,0,,
L0000028,20241017,CMP0012,Ottawa,81,Qualified,1,0,0,,
L0000029,20240421,CMP0004,Mississauga,30,Lost,0,0,0,,
L0000030,20240808,CMP0003,Ottawa,12,Lost,0,0,0,,
L0000031,20240112,CMP0014,Brampton,35,Lost,0,0,0,,
L0000032,20240507,CMP0002,Toronto,63,Lost,1,1,1,,
L0000033,20240608,CMP0009,Toronto,22,New,0,0,0,,
L0000034,20241225,CMP0006,Mississauga,40,New,0,0,0,,
L0000035,20240319,CMP0001,Ottawa,92,Invested,1,1,1,INV000001,20240418
L0000036,20240411,CMP0010,Toronto,16,New,0,0,0,,
L0000037,20240529,CMP0018,Toronto,14,New,0,0,0,,
