TransactionID,TransactionDateKey,InvestorID,SchemeID,Amount,TxnType,InvestmentMode,IsFirstInvestmentFlag
T000000001,20240418,INV000001,SCH0001,63517.0,Purchase,LumpSum,1
T000000002,20240423,INV000002,SCH0010,54921.0,Purchase,LumpSum,1
T000000003,20240716,INV000003,SCH0009,29294.0,Purchase,LumpSum,1
T000000004,20240329,INV000004,SCH0004,2087.0,Purchase,SIP,1
T000000005,20241124,INV000005,SCH0006,1684.0,Purchase,SIP,1
T000000006,20240502,INV000006,SCH0011,757.0,Purchase,SIP,1
T000000007,20240222,INV000007,SCH0004,25096.0,Purchase,LumpSum,1
T000000008,20241020,INV000008,SCH0001,54651.0,Purchase,LumpSum,1
T000000009,20240705,INV000009,SCH0002,1328.0,Purchase,SIP,1
T000000010,20241231,INV000010,SCH0004,1534.0,Purchase,SIP,1
T000000011,20240525,INV000011,SCH0005,774.0,Purchase,SIP,1
T000000012,20241224,INV000012,SCH0012,16423.0,Purchase,LumpSum,1
T000000013,20240509,INV000013,SCH0005,524.0,Purchase,SIP,1
T000000014,20240613,INV000014,SCH0006,770.0,Purchase,SIP,1
T000000015,20240819,INV000015,SCH0005,68245.0,Purchase,LumpSum,1
T000000016,20240619,INV000016,SCH0006,2444.0,Purchase,SIP,1
T000000017,20240227,INV000017,SCH0002,21079.0,Purchase,LumpSum,1
T000000018,20240312,INV000018,SCH0011,2090.0,Purchase,SIP,1
T000000019,20240219,INV000019,SCH0003,1489.0,Purchase,SIP,1
T000000020,20240801,INV000020,SCH0011,1437.0,Purchase,SIP,1
T000000021,20241222,INV000021,SCH0008,1082.0,Purchase,SIP,1
T000000022,20240220,INV000022,SCH0001,1293.0,Purchase,SIP,1
T000000023,20240802,INV000023,SCH0012,52347.0,Purchase,LumpSum,1
T000000024,20241021,INV000024,SCH0006,64361.0,Purchase,LumpSum,1
T000000025,20240519,INV000025,SCH0005,1642.0,Purchase,SIP,1
T000000026,20241211,INV000026,SCH0003,1022.0,Purchase,SIP,1
